name,type
CatID,Int64
MatchID,Int64
MemID,Int64
SourceID,Int64
ImageID,Int64
Det,str
MatchRA,float
MatchDec,float
SourceRA,float
SourceDec,float
D,float
DSigma,float
AbsCorr,str
XImage,float
YImage,float
ImageName,str
Instrument,str
Mode,str
Detector,str
Aperture,str
ExposureTime,float
StartTime,str
StopTime,str
StartMJD,float
StopMJD,float
WaveLength,float
Filter,str
TargetName,str
FluxAper2,float
MagAper2,float
MagAuto,float
PropID,Int64
CI,float
KronRadius,float
Flags,Int64
HTMID,Int64
X,float
Y,float
Z,float